State,$,TOK_INT,TOK_SHORT,TOK_FLOAT,TOK_CHAR,TOK_VOID,TOK_BOOL,TOK_BOOLEAN,TOK_STRUCT,TOK_INT8_T,TOK_INT16_T,TOK_INT32_T,TOK_INT64_T,TOK_SIGNED,TOK_UNSIGNED,TOK_EXTERN,TOK_STATIC,TOK_IF <val>,TOK_ELSE <val>,TOK_FOR,TOK_WHILE,TOK_REPEAT,TOK_UNTIL,TOK_SWITCH,TOK_CASE,TOK_DEFAULT,TOK_BREAK,TOK_CONTINUE,TOK_RETURN,TOK_SIZEOF,TOK_BEGIN,TOK_END,TOK_TRUE,TOK_FALSE,TOK_IDENTIFIER,TOK_INTEGER,TOK_FLOAT_LIT,TOK_CHAR_LIT,TOK_STRING_LIT,TOK_PLUS,TOK_MINUS,TOK_MULT,TOK_DIV,TOK_MOD,TOK_ASSIGN,TOK_EQ,TOK_NE,TOK_LT,TOK_LE,TOK_GT,TOK_GE,TOK_SPACESHIP,TOK_AND,TOK_OR,TOK_NOT,TOK_BITOR,TOK_XOR,TOK_BITNOT,TOK_LSHIFT,TOK_RSHIFT,TOK_INC,TOK_DEC,TOK_PLUSEQ,TOK_MINUSEQ,TOK_MULTEQ,TOK_DIVEQ,TOK_MODEQ,TOK_ARROW,TOK_AMP,TOK_STAR,TOK_LPAREN,TOK_RPAREN,TOK_LBRACKET,TOK_RBRACKET,TOK_SEMICOLON,TOK_COMMA,TOK_DOT,TOK_COLON
49,,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,,,,,,,,,,,,,,s44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,,,,,,,,,,,,,,,,,,s126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s127,,,,,,
51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s70,,,s72,s73,s121,s75,s76,s77,s78,s79,s80,,,,,,,,,,,,,,s81,,,s82,,,s83,s84,,,,,,,s85,s86,s87,,,s133,,,,
52,r117,r117,r117,r117,r117,r117,r117,r117,r117,r117,r117,r117,r117,r117,r117,r117,r117,r117,r117,r117,r117,r117,r117,r117,r117,r117,r117,r117,r117,r117,r117,r117,r117,r117,r117,r117,r117,r117,r117,r117,r117,r117,r117,r117,r117,r117,r117,r117,r117,r117,r117,r117,r117,r117,r117,r117,r117,r117,r117,r117,r117,r117,r117,r117,r117,r117,r117,r117,r117,r117,s50,r117,s51,r117,r117,r117,r117,r117
53,r111,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,r111,r111,r111,r111,r111,r111,r111,r111,r111,r111,r111,r111,r111,r111,r111,r111,r111,r111,r111,r111,r111,r111,r111,r111,r111,r111,r111,r111,r111,r111,r111,r111,r111,r111,r111,r111,r111,r111,r111,r111,r111,r111,r111,r111,r111,r111,r111,r111,r111,r111,r111,r111,r111,r111,r111,r111,r111,r111,r111,r111,r111,r111,r111
54,,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,,,,,,,,,,,,,,,,,s136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,r106,r106,r106,r106,r106,r106,r106,r106,r106,r106,r106,r106,r106,r106,r106,r106,r106,r106,r106,r106,r106,r106,r106,r106,r106,r106,r106,r106,r106,r106,r106,r106,r106,r106,r106,r106,r106,r106,r106,r106,r106,r106,r106,r106,r106,r106,r106,r106,r106,r106,r106,r106,r106,r106,r106,r106,r106,r106,r106,r106,r106,r106,r106,r106,r106,r106,r106,r106,r106,r106,r106,r106,r106,r106,r106,r106,r106,r106
56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s27,s28,,,,s138,,,s139
57,r120,r120,r120,r120,r120,r120,r120,r120,r120,r120,r120,r120,r120,r120,r120,r120,r120,r120,r120,r120,r120,r120,r120,r120,r120,r120,r120,r120,r120,r120,r120,r120,r120,r120,r120,r120,r120,r120,r120,r120,r120,r120,r120,r120,r120,r120,r120,r120,r120,r120,r120,r120,r120,r120,r120,r120,r120,r120,r120,r120,r120,r120,r120,r120,r120,r120,r120,r120,r120,r120,r120,r120,r120,r120,r120,r120,r120,r120
58,r85,r85,r85,r85,r85,r85,r85,r85,r85,r85,r85,r85,r85,r85,r85,r85,r85,r85,r85,r85,r85,r85,r85,r85,r85,r85,r85,r85,r85,r85,r85,r85,r85,r85,r85,r85,r85,r85,r85,r85,r85,r85,r85,r85,r85,r85,r85,r85,r85,r85,r85,r85,r85,r85,r85,r85,r85,r85,r85,r85,r85,r85,r85,r85,r85,r85,r85,r85,r85,r85,r85,r85,r85,r85,r85,r85,r85,r85
